road_geometry_id,source_road_code,source_object_id_nonunique,qgis_name,qgis_district,qgis_village,match_status,candidate_nomor_ruas,candidate_display_name,note
hss-county-110,110,99,Jl. Haritas (PT. Pertani),Sungai Raya,Ds. Hariti - Ds. Bataang Kulur Tengah,exact_normalized,110,Haritas (PT. Pertani),Precheck only; canonical Treatment Engine road_key still required.
hss-county-090,090,69,Taal Batang Kulur - SP.3 Muara Paring Agung,Sungai Raya,Ds. Hariti - Ds. Sungai Kali,treatment_engine_alias,090,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-141,141,133,Malilingin - Lokbahan - Paniungan,Padang Batung,Ds. Malilingin,exact_normalized,141,Malilingin - Lokbahan - Paniungan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-155,155,127,Muara Pipii - Tambak Pipii,Padang Batung,Ds. Batulaki,exact_normalized,155,Muara Pipii - Tambak Pipii,Precheck only; canonical Treatment Engine road_key still required.
hss-county-119,119,97,Jl. Hariti - Sungai Raya Selatan,Sungai Raya,Ds. Hariti - Ds. Sungai Raya Selatan,exact_normalized,119,Hariti - Sungai Raya Selatan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-154,154,126,Batulaki - Muara Pipii,Padang Batung,Ds. Batulaki,treatment_engine_alias,154,Batu Laki - Muara Pipii,Precheck only; canonical Treatment Engine road_key still required.
hss-county-147,147,118,Simpang Malutu - Tambak,Padang Batung,Ds. Malutu - Ds. Jalatang,exact_normalized,147,Simpang Malutu - Tambak,Precheck only; canonical Treatment Engine road_key still required.
hss-county-099,099,82,Ida Manggala - Padang Makmur,Sungai Raya,Ds. Ida Manggala,exact_normalized,099,Ida Manggala - Padang Makmur,Precheck only; canonical Treatment Engine road_key still required.
hss-county-095,095,75,Sungai Raya Selatan - Malutu - Goa Berangin,Sungai Raya,Ds. Sungai Raya Selatan - Ds. Malutu,exact_normalized,095,Sungai Raya Selatan - Malutu - Goa Berangin,Precheck only; canonical Treatment Engine road_key still required.
hss-county-093,093,73,Taal Jarau - SP. Baru/Tampang,Sungai Raya,Ds. Ida Manggala - Ds. Btng Kulur Kanan,exact_normalized,093,Taal Jarau - Sp. Baru/Tampang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-254,254,94,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,Kalumpang,Ds. Sirih - Ds. Tamiyang,exact_normalized,254,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-096,096,76,SP.4 Baru/Tampang - SP. Biluy Pamujaan,Sungai Raya,Ds. Batang Kulur Kanan - Ds. Simpur,treatment_engine_alias,096,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-156,156,128,Tambak Pipii - Malilingin,Padang Batung,Ds. Batulaki - Ds. Malilingin,exact_normalized,156,Tambak Pipii - Malilingin,Precheck only; canonical Treatment Engine road_key still required.
hss-county-091,091,71,Batang Kulur Kanan - Sarangan,Sungai Raya,Ds. Btng Kulur Kanan - Ds. Ida Manggala,exact_normalized,091,Batang Kulur Kanan - Sarangan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-170,170,137,Pandulangan - Kalinduku,Angkinang,Ds. Pandulangan - Ds. Telaga Sili-Sili,exact_normalized,170,Pandulangan - Kalinduku,Precheck only; canonical Treatment Engine road_key still required.
hss-county-152,152,122,Madang - Ambutun,Padang Batung,Ds. Madang - Ds. Ambutun,exact_normalized,152,Madang - Ambutun,Precheck only; canonical Treatment Engine road_key still required.
hss-county-116,116,325,Jl. Sungai Raya Utara-Teluk Pinang,Sungai Raya,Ds. Sungai Raya Utara - Ds. Karasikan,exact_normalized,116,Sungai Raya Utara - Teluk Pinang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-226,226,200,Jl. Guru H. Izim,Simpur,Ds. Pantai Ulin,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-180,180,148,Sungai Kudung - Kalinduku,Angkinang,Ds. Bakarung - Ds. Telaga Sili-Sili,exact_normalized,180,Sungai Kudung - Kalinduku,Precheck only; canonical Treatment Engine road_key still required.
